State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andaman & Nicobar,Nicobars,2020-08-23,2020,8,1.091091811,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-08-25,2020,8,0.01046654,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-08-30,2020,8,1.35820438,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-08-31,2020,8,2.469159238,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-09-05,2020,9,12.57785844,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-09-09,2020,9,19.09397182,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-09-12,2020,9,7.838602041,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-09-27,2020,9,12.00385326,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-10-02,2020,10,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-10-23,2020,10,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-10-30,2020,10,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-11-05,2020,11,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-11-09,2020,11,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-11-22,2020,11,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-11-24,2020,11,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-11-28,2020,11,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-12-05,2020,12,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-12-06,2020,12,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-12-12,2020,12,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-12-13,2020,12,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-12-19,2020,12,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-12-28,2020,12,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-12-31,2020,12,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2021-01-01,2021,1,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-01-02,2021,1,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-01-04,2021,1,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-01-07,2021,1,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-01-10,2021,1,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-01-14,2021,1,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-01-20,2021,1,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-01-22,2021,1,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-01-27,2021,1,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-02-06,2021,2,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-02-15,2021,2,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-02-16,2021,2,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-02-18,2021,2,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-02-22,2021,2,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-03-04,2021,3,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-03-07,2021,3,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-03-08,2021,3,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-03-17,2021,3,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-03-20,2021,3,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-03-28,2021,3,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-03-30,2021,3,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-04-16,2021,4,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-04-23,2021,4,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-04-28,2021,4,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-04-30,2021,4,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-05-08,2021,5,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-05-09,2021,5,0.0,IMD GRID MODEL
